m,scenario,d,d_se_U,d_se_L
17,N,2.8601438438511013e-4,2.7717916492381794e-4,2.9513123072463706e-4
18,N,1.2580733302191833e-4,1.2169621106216732e-4,1.300573362469155e-4
19,N,5.5338073559183787e-05,5.343102823387929e-5,5.731318461320414e-5
20,N,2.434120739772869e-5,2.3459027632924547e-5,2.5256561646556957e-5
21,N,1.0706812497648157e-5,1.029974521683205e-5,1.112996792119232e-5
22,N,4.709537698219997e-6,4.522129100643797e-6,4.904712987472575e-6
23,N,2.0715544739227667e-6,1.9854521808432938e-6,2.161390729947862e-6
24,N,9.112015262244079e-7,8.717177848492136e-7,9.524736512486243e-7
25,N,4.0080443543510974e-7,3.82729890830042e-7,4.197325563364334e-7
26,N,1.7629930464459525e-7,1.6803852333942373e-7,1.8496618632732149e-7
27,N,7.75476568377445e-8,7.37777372570915e-8,8.15102130344415e-8
28,N,3.4110395915330335e-8,3.239230151875182e-8,3.591961839534712e-8
29,N,1.500392348327235e-8,1.4221921635050862e-8,1.582892422477393e-8
30,N,6.599680650165569e-9,6.244170543931216e-9,6.975431625022242e-9
31,N,2.902959664699005e-9,2.7415188173731403e-9,3.0739073397804046e-9
32,N,1.2769064537475678e-9,1.2036707474807628e-9,1.3545980867564902e-9
33,N,5.616647421765842e-10,5.284746758474295e-10,5.969392612776117e-10
34,N,2.4705590740686597e-10,2.3202813858904397e-10,2.630569798809393e-10
35,N,1.0867091487369946e-10,1.018725391349491e-10,1.1592297433406597e-10
36,N,4.7800386007521943e-11,4.472739510349946e-11,5.10845064234322e-11
37,N,2.1025652587204765e-11,1.9637675567254367e-11,2.2511730841250604e-11
38,N,9.248420434267296e-12,8.621970959685217e-12,9.920386061251154e-12
39,N,4.0680440321278844e-12,3.7854980837759385e-12,4.3716789392280655e-12
40,N,1.7893847241215418e-12,1.6620324760168913e-12,1.926495262350689e-12
41,N,7.870853082297334e-13,7.297195481814804e-13,8.489607877094083e-13
42,N,3.462102219159326e-13,3.2038520707748704e-13,3.7411689151456383e-13
43,N,1.5228529424423386e-13,1.4066593278183204e-13,1.6486444432157706e-13
44,N,6.698476640786269e-14,6.175973237302842e-14,7.2651851915658e-14
45,N,2.946416430413663e-14,2.711576617988867e-14,3.2015948669193365e-14
46,N,1.2960215056288633e-14,1.1905245493639761e-14,1.4108669526805428e-14
47,N,5.7007275879760806e-15,5.227028044258301e-15,6.2173561643714116e-15
48,N,2.5075428834448503e-15,2.2949398389188454e-15,2.7398414571412688e-15
49,N,1.1029769823727524e-15,1.0075991212716351e-15,1.2073831724949822e-15
50,N,4.851594888669632e-16,4.4238893411064834e-16,5.320651388146668e-16
51,N,2.134040269193104e-16,1.9423197667795045e-16,2.3446849218287177e-16
52,N,9.38686756632012e-17,8.527803897280067e-17,1.0332470559710716e-16
53,N,4.128941893910412e-17,3.744153797654334e-17,4.55327480777341e-17
54,N,1.8161714802983966e-17,1.643880162976146e-17,2.0065202562439665e-17
55,N,7.988678287563267e-18,7.217497293833027e-18,8.8422590524163e-18
56,N,3.513929244814469e-18,3.1688603804414277e-18,3.896573927262274e-18
57,N,1.545649767469687e-18,1.3912961379717322e-18,1.7171277476281287e-18
58,N,6.798751588992895e-19,6.108520765012135e-19,7.566974877712845e-19
59,N,2.9905237358203952e-19,2.681961439998086e-19,3.334586426608586e-19
60,N,1.3154227062780329e-19,1.1775219308143449e-19,1.4694731799986011e-19
